SDSS Object ID,RA,DEC,zsp,DR1 Source,RA,DEC,Sint,DR2 Source,RA,DEC,Sint,Offset,WISE,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W23,W12
1237658203977351205,194.394094,49.148812,0.03671,ILTJ125734.59+490855.9,194.3941,49.1489,1.5,ILTJ125734.55+490855.5,194.39397,49.14877,1.704,0.33,J125734.56+490855.6,11.986,0.023,12.064,0.022,11.446,0.153,0.618,-0.078
1237661417142878381,225.941347,49.389969,0.03717,ILTJ150346.74+492306.5,225.9448,49.3851,1.7,ILTJ150346.76+492306.2,225.94485,49.38507,1.963,19.46,J150345.90+492324.2,13.238,0.024,13.16,0.025,10.037,0.047,3.123,0.078
1237662302434164784,212.585046,49.423762,0.02604,ILTJ141020.40+492526.6,212.585,49.4241,0.9,ILTJ141020.46+492527.8,212.58526,49.4244,0.911,2.35,J141020.40+492526.2,14.313,0.027,14.164,0.035,10.795,0.087,3.369,0.149
1237661416068546581,223.532247,49.429155,0.02607,ILTJ145408.07+492540.7,223.5336,49.428,1.5,ILTJ145408.04+492539.8,223.53351,49.42775,1.584,5.87,J145407.75+492544.8,11.683,0.023,11.748,0.021,11.103,0.082,0.645,-0.065
1237661416068546652,223.562912,49.430528,0.03726,ILTJ145415.10+492549.9,223.5629,49.4306,6.3,ILTJ145415.10+492549.7,223.5629,49.43048,6.944,0.18,J145415.09+492549.8,11.894,0.023,11.949,0.021,10.621,0.059,1.328,-0.055
1237658204514615314,195.892016,49.486649,0.03508,ILTJ130334.14+492912.2,195.8923,49.4867,1.2,ILTJ130334.10+492912.1,195.89207,49.48669,0.846,0.2,J130334.10+492912.2,14.519,0.028,14.26,0.042,10.524,0.068,3.736,0.259
1237661417142812836,225.941743,49.525876,0.01923,ILTJ150346.09+493132.6,225.9421,49.5257,0.8,ILTJ150346.08+493132.5,225.942,49.52569,0.893,0.91,J150346.03+493133.3,13.282,0.024,13.163,0.025,9.426,0.027,3.737,0.119
1237661958296895686,209.227391,49.613593,0.04062,ILTJ135654.61+493648.4,209.2275,49.6135,0.9,ILTJ135654.59+493648.7,209.22747,49.61354,1.185,0.27,J135654.58+493649.0,12.188,0.023,12.222,0.022,11.599,0.169,0.623,-0.034
1237661387608948878,227.097577,49.665988,0.03725,ILTJ150823.45+493957.3,227.0977,49.6659,1.6,ILTJ150823.47+493956.9,227.09779,49.66583,1.889,0.76,J150823.42+493957.5,11.238,0.023,11.28,0.02,10.653,0.057,0.627,-0.042
1237658204511469605,184.883751,49.81576,0.0137,ILTJ121929.33+494917.2,184.8722,49.8215,0.8,ILTJ121929.39+494917.2,184.87246,49.82145,0.896,33.28,J121932.11+494856.6,10.234,0.022,10.283,0.02,9.793,0.041,0.49,-0.049
1237661151915671606,196.938218,50.013381,0.03327,ILTJ130745.06+500048.2,196.9378,50.0134,1.4,ILTJ130745.10+500048.3,196.9379,50.01343,1.84,0.76,J130745.16+500048.1,14.019,0.027,13.803,0.033,9.933,0.045,3.87,0.216
1237659163879669821,227.960244,50.140438,0.03251,ILTJ151150.46+500824.8,227.9603,50.1402,1.2,ILTJ151150.49+500824.6,227.96038,50.14019,1.401,0.95,J151150.47+500825.3,14.254,0.026,13.883,0.031,9.662,0.035,4.221,0.371
1237661387608424652,225.430628,50.363544,0.02567,ILTJ150143.31+502148.7,225.4305,50.3635,1.6,ILTJ150143.27+502148.3,225.43029,50.36344,2.427,0.86,J150143.33+502148.6,13.385,0.024,13.15,0.025,9.232,0.025,3.918,0.235
1237658613596618862,186.950229,50.407931,0.03883,ILTJ122748.02+502428.5,186.9501,50.4079,2,ILTJ122748.04+502428.6,186.95016,50.40796,2.313,0.19,J122748.01+502428.6,12.805,0.024,12.662,0.025,9.228,0.03,3.434,0.143
1237661416067367031,220.075537,50.769005,0.0429,ILTJ144018.18+504608.2,220.0758,50.769,1.6,ILTJ144018.09+504608.5,220.07537,50.76904,1.673,0.4,J144018.13+504607.6,13.08,0.034,13.015,0.037,9.64,0.048,3.375,0.065
1237661152450183230,188.703831,50.805173,0.03965,ILTJ123448.92+504818.9,188.7038,50.8053,2.1,ILTJ123448.91+504818.9,188.7038,50.80525,2.864,0.29,J123448.92+504818.6,11.486,0.022,11.531,0.021,10.902,0.107,0.629,-0.045
1237661152450314246,188.997292,50.818504,0.04172,ILTJ123559.36+504906.7,188.9973,50.8185,1.7,ILTJ123559.37+504907.0,188.99736,50.81861,2.213,0.42,J123559.36+504906.8,13.621,0.025,13.431,0.031,9.475,0.035,3.956,0.19
1237661152449593443,186.535362,50.833419,0.04062,ILTJ122608.43+505000.7,186.5351,50.8335,0.8,ILTJ122608.48+505001.2,186.53534,50.83368,0.843,0.95,J122608.47+505000.4,14.039,0.025,13.888,0.035,10.229,0.055,3.659,0.151
1237658206122999832,188.113683,51.077524,0.04138,ILTJ123227.31+510439.0,188.1138,51.0775,1.2,ILTJ123227.28+510439.0,188.11367,51.07752,1.513,0.03,J123227.28+510439.1,13.249,0.024,13.112,0.028,9.701,0.049,3.411,0.137
1237662300818637021,194.96649,51.212174,0.03519,ILTJ125951.97+511244.4,194.9665,51.2123,1.1,ILTJ125952.00+511244.6,194.96667,51.2124,1.086,0.91,J125951.95+511243.8,14.249,0.028,14.083,0.037,10.036,0.049,4.047,0.166
